Date,Month,Quarter,Year,Period
10-15-17,10,Q4 2017,2017,201710
10-16-17,10,Q4 2017,2017,201710
10-17-17,10,Q4 2017,2017,201710
10-18-17,10,Q4 2017,2017,201710
10-19-17,10,Q4 2017,2017,201710
10-20-17,10,Q4 2017,2017,201710
10-21-17,10,Q4 2017,2017,201710
10-22-17,10,Q4 2017,2017,201710
10-23-17,10,Q4 2017,2017,201710
10-24-17,10,Q4 2017,2017,201710
10-25-17,10,Q4 2017,2017,201710
10-26-17,10,Q4 2017,2017,201710
10-27-17,10,Q4 2017,2017,201710
10-28-17,10,Q4 2017,2017,201710
10-29-17,10,Q4 2017,2017,201710
10-30-17,10,Q4 2017,2017,201710
10-31-17,10,Q4 2017,2017,201710
11-01-17,11,Q4 2017,2017,201711
11-02-17,11,Q4 2017,2017,201711
11-03-17,11,Q4 2017,2017,201711
11-04-17,11,Q4 2017,2017,201711
11-05-17,11,Q4 2017,2017,201711
11-06-17,11,Q4 2017,2017,201711
11-07-17,11,Q4 2017,2017,201711
11-08-17,11,Q4 2017,2017,201711
11-09-17,11,Q4 2017,2017,201711
11-10-17,11,Q4 2017,2017,201711
11-11-17,11,Q4 2017,2017,201711
11-12-17,11,Q4 2017,2017,201711
11-13-17,11,Q4 2017,2017,201711
11-14-17,11,Q4 2017,2017,201711
11-15-17,11,Q4 2017,2017,201711
11-16-17,11,Q4 2017,2017,201711
11-17-17,11,Q4 2017,2017,201711
11-18-17,11,Q4 2017,2017,201711
11-19-17,11,Q4 2017,2017,201711
11-20-17,11,Q4 2017,2017,201711
11-21-17,11,Q4 2017,2017,201711
11-22-17,11,Q4 2017,2017,201711
11-23-17,11,Q4 2017,2017,201711
11-24-17,11,Q4 2017,2017,201711
11-25-17,11,Q4 2017,2017,201711
11-26-17,11,Q4 2017,2017,201711
11-27-17,11,Q4 2017,2017,201711
11-28-17,11,Q4 2017,2017,201711
11-29-17,11,Q4 2017,2017,201711
11-30-17,11,Q4 2017,2017,201711
12-01-17,12,Q4 2017,2017,201712
12-02-17,12,Q4 2017,2017,201712
12-03-17,12,Q4 2017,2017,201712
12-04-17,12,Q4 2017,2017,201712
12-05-17,12,Q4 2017,2017,201712
12-06-17,12,Q4 2017,2017,201712
12-07-17,12,Q4 2017,2017,201712
12-08-17,12,Q4 2017,2017,201712
12-09-17,12,Q4 2017,2017,201712
12-10-17,12,Q4 2017,2017,201712
12-11-17,12,Q4 2017,2017,201712
12-12-17,12,Q4 2017,2017,201712
